Type Designator,Manufacturer,Model,Description,Engine Type,Engine Count,WTC
J328,328 SUPPORT SERVICES,Dornier 328JET,LandPlane,Jet,2,M
UL45,3XTRIM,450 Ultra,LandPlane,Piston,1,L
UL45,3XTRIM,Ultra,LandPlane,Piston,1,L
TR55,3XTRIM,550 Trener,LandPlane,Piston,1,L
TR55,3XTRIM,Trener,LandPlane,Piston,1,L
UL45,3XTRIM,3X-47 Ultra,LandPlane,Piston,1,L
TR55,3XTRIM,3X-55 Trener,LandPlane,Piston,1,L
TR55,3XTRIM,3X-LS Navigator 600,LandPlane,Piston,1,L
TR55,3XTRIM,Navigator 600,LandPlane,Piston,1,L
CE22,A-41,VNS-41,Amphibian,Piston,2,L
ELSP,A2 CZ,Ellipse Spirit,LandPlane,Piston,1,L
PETR,AAC,SeaStar,Amphibian,Piston,1,L
BMAN,AAK,Bushman,LandPlane,Piston,1,L
HRNT,AAK,Hornet,LandPlane,Piston,1,L
WSP,AAK,Wasp,LandPlane,Piston,1,L
FMGO,AAK,Flamingo,LandPlane,Piston,1,L
A9,AAMSA,A-9 Quail,LandPlane,Piston,1,L
A9,AAMSA,Quail,LandPlane,Piston,1,L
JCRU,AASI,Jetcruzer,LandPlane,Turboprop/Turboshaft,1,L
GAZL,ABHCO,Gazelle,Helicopter,Turboprop/Turboshaft,1,L
GAZL,ABHCO,SA-342 Gazelle,Helicopter,Turboprop/Turboshaft,1,L
RF9,ABS,RF-9,LandPlane,Piston,1,L
XNON,ABS AEROLIGHT,Xenon,Gyrocopter,Piston,1,L
MIDR,ACBA,ACBA-8 Midour 2,LandPlane,Piston,1,L
MIDR,ACBA,Midour 2,LandPlane,Piston,1,L
JACE,ACE,Junior Ace,LandPlane,Piston,1,L
SACE,ACE,Super Ace,LandPlane,Piston,1,L
ARKS,ACEAIR,A-200 Aeriks 200,LandPlane,Piston,1,L
ARKS,ACEAIR,A-200 Aeris 200,LandPlane,Piston,1,L
ARKS,ACEAIR,Aeriks 200,LandPlane,Piston,1,L
ARKS,ACEAIR,Aeris 200,LandPlane,Piston,1,L
CUB2,ACES HIGH,Cuby 2,LandPlane,Piston,1,L
ACRO,ACRO SPORT,Acro-Sport 1,LandPlane,Piston,1,L
ACR2,ACRO SPORT,Acro-Sport 2,LandPlane,Piston,1,L
COUG,ACRO SPORT,Cougar,LandPlane,Piston,1,L
JACE,ACRO SPORT,Junior Ace,LandPlane,Piston,1,L
SACE,ACRO SPORT,Super Ace,LandPlane,Piston,1,L
ACRO,ACRO SPORT,Super Acro-Sport,LandPlane,Piston,1,L
SORA,ACS (1),ACS-100 Sora,LandPlane,Piston,1,L
SORA,ACS (1),Sora,LandPlane,Piston,1,L
J600,ACS (2),Skyleader 600,LandPlane,Piston,1,L
J600,ACS (2),JA-600 Skyleader 600,LandPlane,Piston,1,L
T211,AD AEROSPACE,T-211,LandPlane,Piston,1,L
LCA,ADA,LCA Tejas,LandPlane,Jet,1,M
LCA,ADA,Tejas,LandPlane,Jet,1,M
RA14,ADAM (1),Loisirs,LandPlane,Piston,1,L
RA14,ADAM (1),RA-14 Loisirs,LandPlane,Piston,1,L
RA17,ADAM (1),RA-17,LandPlane,Piston,1,L
A500,ADAM (2),A-500,LandPlane,Piston,2,L
A500,ADAM (2),A-500 CarbonAero,LandPlane,Piston,2,L
A700,ADAM (2),A-700 AdamJet,LandPlane,Jet,2,L
A700,ADAM (2),AdamJet,LandPlane,Jet,2,L
A500,ADAM (2),CarbonAero,LandPlane,Piston,2,L
T211,ADAMS,T-211,LandPlane,Piston,1,L
BUCA,ADVANCED AEROMARINE,Mallard,Amphibian,Piston,1,L
C21T,ADVANCED AIRCRAFT,Regent 1500,LandPlane,Turboprop/Turboshaft,2,L
C10T,ADVANCED AIRCRAFT,Spirit 750,LandPlane,Turboprop/Turboshaft,1,L
C10T,ADVANCED AIRCRAFT,Turbine P210,LandPlane,Turboprop/Turboshaft,1,L
BUCA,ADVANCED AVIATION,Buccaneer,Amphibian,Piston,1,L
ADVN,ADVENTURE AIR,Adventurer,Amphibian,Piston,1,L
EX5T,AEA,Explorer 500T,LandPlane,Turboprop/Turboshaft,1,L
MAVR,AEA,Maverick,LandPlane,Piston,1,L
AM3,AERFER-AERMACCHI,AM-3,LandPlane,Piston,1,L
AMX,AERITALIA,AMX Ghibli,LandPlane,Jet,1,M
G222,AERITALIA,G-222,LandPlane,Turboprop/Turboshaft,2,M
AMX,AERITALIA,Ghibli,LandPlane,Jet,1,M
TOR,AERITALIA,Tornado,LandPlane,Jet,2,M
AM3,AERITALIA-AERMACCHI,AM-3,LandPlane,Piston,1,L
LA60,AERMACCHI,AL-60,LandPlane,Piston,1,L
LA60,AERMACCHI,AL-60 Conestoga,LandPlane,Piston,1,L
LA60,AERMACCHI,AL-60 Trojan,LandPlane,Piston,1,L
AMX,AERMACCHI,AMX Ghibli,LandPlane,Jet,1,M
LA60,AERMACCHI,Conestoga,LandPlane,Piston,1,L
AMX,AERMACCHI,Ghibli,LandPlane,Jet,1,M
F260,AERMACCHI,F-260F,LandPlane,Piston,1,L
L90,AERMACCHI,M-290TP Redigo,LandPlane,Turboprop/Turboshaft,1,L
M326,AERMACCHI,MB-326,LandPlane,Jet,1,L
M339,AERMACCHI,MB-339,LandPlane,Jet,1,L
L90,AERMACCHI,Redigo,LandPlane,Turboprop/Turboshaft,1,L
F260,AERMACCHI,T-260,LandPlane,Piston,1,L
LA60,AERMACCHI,Trojan,LandPlane,Piston,1,L
F260,AERMACCHI,F-260E,LandPlane,Piston,1,L
F260,AERMACCHI,SF-260E,LandPlane,Piston,1,L
F260,AERMACCHI,SF-260F,LandPlane,Piston,1,L
F26T,AERMACCHI,SF-260T,LandPlane,Turboprop/Turboshaft,1,L
M346,AERMACCHI,M-346 Master,LandPlane,Jet,2,M
M346,AERMACCHI,T-346 Master,LandPlane,Jet,2,M
M346,AERMACCHI,Master,LandPlane,Jet,2,M
LA60,AERMACCHI,AL-60 Loadmaster,LandPlane,Piston,1,L
LA6T,AERMACCHI,AL-60 Turbine Grizzly,LandPlane,Turboprop/Turboshaft,1,L
LA60,AERMACCHI,Loadmaster,LandPlane,Piston,1,L
