3Ltr,Company,Country,Telephony
AAA,AVICON AVIATION CONSULTANTS & AGENTS,PAKISTAN,
AAB,ABELAG AVIATION,BELGIUM,ABG
AAC,ARMY AIR CORPS,UNITED KINGDOM,ARMYAIR
AAD,ARRENDAMIENTOS AEREOS,PANAMA,PANABEAR
AAE,AIR ATLANTA EUROPE,MALTA,EUROVIKING
AAF,AIGLE AZUR,FRANCE,AIGLE AZUR
AAH,"AEKO KULA, INC. D/B/A ALOHA AIR CARGO (HONOLULU, HI)",UNITED STATES,ALOHA
AAI,"AIR AURORA, INC. (SUGAR GROVE, IL)",UNITED STATES,BOREALIS
AAJ,"ALFA AIRLINES CO., LTD",SUDAN,ALFA SUDAN
AAK,"ALASKA ISLAND AIR, INC. (ANCHORAGE, AK)",UNITED STATES,ALASKA ISLAND
AAL,AMERICAN AIRLINES INC.,UNITED STATES,AMERICAN
AAM,AIM AIR,REPUBLIC OF MOLDOVA,AIM AIR
AAN,CTR ATMOSPHERICA AVIATION A.S.,CZECHIA,ATMOJET
AAP,ARABASCO AIR SERVICES,SAUDI ARABIA,ARABASCO
AAQ,"ASIA ATLANTIC AIRLINES CO., LTD",THAILAND,ASIA ATLANTIC
AAR,ASIANA AIRLINES,REPUBLIC OF KOREA,ASIANA
AAS,ASKARI AVIATION (PVT) LTD,PAKISTAN,AL-AAS
AAT,CONGO FALCON,CONGO,AFRICA AIRLINES
AAU,AEROPA S.R.L.,ITALY,
AAV,"ASTRO AIR INTERNATIONAL, INC. DBA OF PAN PACIFIC AIRLINES",PHILIPPINES,ASTRO-PHIL
AAW,AFRICAN AIRLINES CORPORATION,LIBYA,AFRIQIYAH
AAX,"ADVANCE AVIATION CO., LTD",THAILAND,ADVANCE AVIATION
AAY,"ALLEGIANT AIR, INC. (FRESNO, CA)",UNITED STATES,ALLEGIANT
AAZ,AEOLUS AIR LIMITED,GAMBIA,AEOLUS
ABA,"AERO-BETA GMBH & CO., STUTTGART",GERMANY,AEROBETA
ABB,AIR BELGIUM SA,BELGIUM,AIR BELGIUM
