Departure_Regex,Arrival_Regex,Route,RNAV Required,Notes
KFAT,KLAX,..PONDD..TAFTO..MUPTT.IRNMN STAR,TRUE,AoB FL230
KMRY,KLAX,..TOKIO.HUULL STAR,TRUE,AoB FL230
KMRY,KLAX,..VTU.SADDE STAR,FALSE,AoB FL230
^(?!KFAT|KMRY).*,KLAX,..IRNMN STAR,TRUE,WEST FLOW JETS
^(?!KFAT|KMRY).*,KLAX,..SADDE STAR,FALSE,WEST FLOW JETS
^(?!KFAT|KMRY).*,KLAX,..ZUUMA STAR,TRUE,EAST FLOW JETS
^(?!KFAT|KMRY).*,KLAX,..MOOR STAR,FALSE,EAST FLOW JETS
^(?!KFAT|KMRY).*,KLAX,..WAYVE STAR,TRUE,PROPS
^(?!KFAT|KMRY).*,KLAX,..KIMMO STAR,FALSE,PROPS
^(?!KFAT|KMRY).*,KSMO,..WAYVE STAR,TRUE,PROPS
^(?!KFAT|KMRY).*,KSMO,..KIMMO STAR,FALSE,PROPS
KOAK|KSFO,KLGB,..TILLT.BAUBB STAR,TRUE,AoA FL250
KOAK|KSFO,KLGB,..RDHOT.PCFIC STAR,TRUE,AoA FL250
KOAK|KSFO,KLGB,OFFSH# SXC or COAST# SXC,TRUE,AoA FL250
KOAK|KSFO,KSNA,..TILLT.TILLT STAR,TRUE,AoA FL250
KOAK|KSFO,KSNA,..OHSEA STAR,TRUE,AoA FL250
KOAK|KSFO,KSNA,OFFSH# SXC or COAST# SXC,TRUE,AoA FL250
KSJC,KLGB|KSNA,..FLW..GOONA.OHSEA STAR,TRUE,AoA FL240
KSJC,KLGB|KSNA,..FLW.TANDY STAR,FALSE,AoA FL240
KRNO|KSMF,KLGB|KSNA,..REBRG.OHSEA STAR,TRUE,AoA FL240
KRNO|KSMF,KLGB|KSNA,..FIM.TANDY STAR,FALSE,AoA FL240
^(?!KSFO|KOAK|KSJC|KRNO|KSMF).*,KLGB,..PCFIC STAR,TRUE,AoA FL240
^(?!KSFO|KOAK|KSJC|KRNO|KSMF).*,KLGB,..TANDY STAR,FALSE,AoA FL240
^(?!KSFO|KOAK|KSJC|KRNO|KSMF).*,KSNA,..OHSEA STAR,TRUE,AoA FL240
^(?!KSFO|KOAK|KSJC|KRNO|KSMF).*,KSNA,..TANDY STAR,FALSE,AoA FL240
KSJC,KBUR|KVNY,..EBAYE..BURGL..HONZK.ROKKR/IVINS STAR,TRUE,
KSJC,KBUR|KVNY,..AVE FERN STAR,TRUE,
^(?!KSJC).*,KBUR|KVNY,..RDHOT.ROKKR/IVINS STAR,TRUE,
^(?!KSJC).*,KBUR|KVNY,..REBRG.ROKKR/IVINS STAR,TRUE,
^(?!KSJC).*,KBUR|KVNY,..FLW.FERN STAR,FALSE,
KOAK|KSFO,KSAN,MCKEY..LAX.COMIX STAR,TRUE,SAN WEST FLOW
KOAK|KSFO,KSAN,YYUNG..LAX.COMIX STAR,TRUE,SAN WEST FLOW
KOAK|KSFO,KSAN,CISKO..FLW..LAX.COMIX STAR,TRUE,SAN WEST FLOW + SFOE FLOW
KOAK|KSFO,KSAN,..LAX.HUBRD STAR,FALSE,SAN WEST FLOW
KOAK|KSFO,KSAN,MCKEY..LAX.PLYYA STAR,TRUE,SAN EAST FLOW
KOAK|KSFO,KSAN,YYUNG..LAX.PLYYA STAR,TRUE,SAN EAST FLOW
KOAK|KSFO,KSAN,..CISKO..FLW..LAX.PLYYA STAR,TRUE,SAN EAST FLOW + SFOE FLOW
KOAK|KSFO,KSAN,..LAX.SHAMU STAR,FALSE,SAN EAST FLOW
^(?!KSFO|KOAK).*,KSAN,..LAX.COMIX STAR,TRUE,SAN WEST FLOW
^(?!KSFO|KOAK).*,KSAN,..HUULK.COMIX STAR,TRUE,SAN WEST FLOW
^(?!KSFO|KOAK).*,KSAN,..LAX.HUBRD STAR,FALSE,SAN WEST FLOW
^(?!KSFO|KOAK).*,KSAN,..LAX.PLYYA STAR,TRUE,SAN EAST FLOW
^(?!KSFO|KOAK).*,KSAN,..LAX.SHAMU STAR,FALSE,SAN EAST FLOW
.*,MM.*,..AVE.J1.LAX,FALSE,
.*,MM.*,..FIM..LAX,FALSE,
.*,MM.*,..FLW..LAX,FALSE,
.*,KONT|KCNO|KPOC|KAJO|KEMT|KRAL|KSBD,ZIGGY STAR,FALSE,
.*,KPSP|KTRM|KUDD,..SIZLR STAR,TRUE,
.*,KPSP|KTRM|KUDD,PMD.V137.PSP,FALSE,
.*,KLAS,..COKTL STAR,TRUE,AoB FL330
.*,KLAS,..GAMES STAR,TRUE,PROPS AoB FL330
.*,KHND,..GAMES STAR,TRUE,AoB FL330
.*,KVGT,..FLCHR STAR,TRUE,AoB FL330
.*,KLAS|KHND,..PUMLE STAR,FALSE,AoB FL330
